U+1F400 	RAT 	🐀 	view
U+1F401 	MOUSE 	🐁 	view
U+1F402 	OX 	🐂 	view
U+1F403 	WATER BUFFALO 	🐃 	view
U+1F404 	COW 	🐄 	view
U+1F405 	TIGER 	🐅 	view
U+1F406 	LEOPARD 	🐆 	view
U+1F407 	RABBIT 	🐇 	view
U+1F408 	CAT 	🐈 	view
U+1F409 	DRAGON 	🐉 	view
U+1F40A 	CROCODILE 	🐊 	view
U+1F40B 	WHALE 	🐋 	view
U+1F40C 	SNAIL 	🐌 	view
U+1F40D 	SNAKE 	🐍 	view
U+1F40E 	HORSE 	🐎 	view
U+1F40F 	RAM 	🐏 	view
U+1F410 	GOAT 	🐐 	view
U+1F411 	SHEEP 	🐑 	view
U+1F412 	MONKEY 	🐒 	view
U+1F413 	ROOSTER 	🐓 	view
U+1F414 	CHICKEN 	🐔 	view
U+1F415 	DOG 	🐕 	view
U+1F416 	PIG 	🐖 	view
U+1F417 	BOAR 	🐗 	view
U+1F418 	ELEPHANT 	🐘 	view
U+1F419 	OCTOPUS 	🐙 	view
U+1F41A 	SPIRAL SHELL 	🐚 	view
U+1F41B 	BUG 	🐛 	view
U+1F41C 	ANT 	🐜 	view
U+1F41D 	HONEYBEE 	🐝 	view
U+1F41E 	LADY BEETLE 	🐞 	view
U+1F41F 	FISH 	🐟 	view
U+1F420 	TROPICAL FISH 	🐠 	view
U+1F421 	BLOWFISH 	🐡 	view
U+1F422 	TURTLE 	🐢 	view
U+1F423 	HATCHING CHICK 	🐣 	view
U+1F424 	BABY CHICK 	🐤 	view
U+1F425 	FRONT-FACING BABY CHICK 	🐥 	view
U+1F426 	BIRD 	🐦 	view
U+1F427 	PENGUIN 	🐧 	view
U+1F428 	KOALA 	🐨 	view
U+1F429 	POODLE 	🐩 	view
U+1F42A 	DROMEDARY CAMEL 	🐪 	view
U+1F42B 	BACTRIAN CAMEL 	🐫 	view
U+1F42C 	DOLPHIN 	🐬 	view
U+1F42D 	MOUSE FACE 	🐭 	view
U+1F42E 	COW FACE 	🐮 	view
U+1F42F 	TIGER FACE 	🐯 	view
U+1F430 	RABBIT FACE 	🐰 	view
U+1F431 	CAT FACE 	🐱 	view
U+1F432 	DRAGON FACE 	🐲 	view
U+1F433 	SPOUTING WHALE 	🐳 	view
U+1F434 	HORSE FACE 	🐴 	view
U+1F435 	MONKEY FACE 	🐵 	view
U+1F436 	DOG FACE 	🐶 	view
U+1F437 	PIG FACE 	🐷 	view
U+1F438 	FROG FACE 	🐸 	view
U+1F439 	HAMSTER FACE 	🐹 	view
U+1F43A 	WOLF FACE 	🐺 	view
U+1F43B 	BEAR FACE 	🐻 	view
U+1F43C 	PANDA FACE 	🐼 	view
U+1F43D 	PIG NOSE 	🐽 	view
U+1F43E 	PAW PRINTS 	🐾 	view
U+1F440 	EYES 	👀 	view
U+1F442 	EAR 	👂 	view
U+1F443 	NOSE 	👃 	view
U+1F444 	MOUTH 	👄 	view
U+1F445 	TONGUE 	👅 	view
U+1F446 	WHITE UP POINTING BACKHAND INDEX 	👆 	view
U+1F447 	WHITE DOWN POINTING BACKHAND INDEX 	👇 	view
U+1F448 	WHITE LEFT POINTING BACKHAND INDEX 	👈 	view
U+1F449 	WHITE RIGHT POINTING BACKHAND INDEX 	👉 	view
U+1F44A 	FISTED HAND SIGN 	👊 	view
U+1F44B 	WAVING HAND SIGN 	👋 	view
U+1F44C 	OK HAND SIGN 	👌 	view
U+1F44D 	THUMBS UP SIGN 	👍 	view
U+1F44E 	THUMBS DOWN SIGN 	👎 	view
U+1F44F 	CLAPPING HANDS SIGN 	👏 	view
U+1F450 	OPEN HANDS SIGN 	👐 	view
U+1F451 	CROWN 	👑 	view
U+1F452 	WOMANS HAT 	👒 	view
U+1F453 	EYEGLASSES 	👓 	view
U+1F454 	NECKTIE 	👔 	view
U+1F455 	T-SHIRT 	👕 	view
U+1F456 	JEANS 	👖 	view
U+1F457 	DRESS 	👗 	view
U+1F458 	KIMONO 	👘 	view
U+1F459 	BIKINI 	👙 	view
U+1F45A 	WOMANS CLOTHES 	👚 	view
U+1F45B 	PURSE 	👛 	view
U+1F45C 	HANDBAG 	👜 	view
U+1F45D 	POUCH 	👝 	view
U+1F45E 	MANS SHOE 	👞 	view
U+1F45F 	ATHLETIC SHOE 	👟 	view
U+1F460 	HIGH-HEELED SHOE 	👠 	view
U+1F461 	WOMANS SANDAL 	👡 	view
U+1F462 	WOMANS BOOTS 	👢 	view
U+1F463 	FOOTPRINTS 	👣 	view
U+1F464 	BUST IN SILHOUETTE 	👤 	view
U+1F465 	BUSTS IN SILHOUETTE 	👥 	view
U+1F466 	BOY 	👦 	view
U+1F467 	GIRL 	👧 	view
U+1F468 	MAN 	👨 	view
U+1F469 	WOMAN 	👩 	view
U+1F46A 	FAMILY 	👪 	vOF POO 	💩 	view
U+1F4AA 	FLEXED BICEPS 	💪 	view
U+1F4AB 	DIZZY SYMBOL 	💫 	view
U+1F4AC 	SPEECH BALLOON 	💬 	view
U+1F4AD 	THOUGHT BALLOON 	💭 	view
U+1F4AE 	WHITE FLOWER 	💮 	view
U+1F4AF 	HUNDRED POINTS SYMBOL 	💯 	view
U+1F4B0 	MONEY BAG 	💰 	view
U+1F4B1 	CURRENCY EXCHANGE 	💱 	view
U+1F4B2 	HEAVY DOLLAR SIGN 	💲 	view
U+1F4B3 	CREDIT CARD 	💳 	view
U+1F4B4 	BANKNOTE WITH YEN SIGN 	💴 	view
U+1F4B5 	BANKNOTE WITH DOLLAR SIGN 	💵 	view
U+1F4B6 	BANKNOTE WITH EURO SIGN 	💶 	view
U+1F4B7 	BANKNOTE WITH POUND SIGN 	💷 	view
U+1F4B8 	MONEY WITH WINGS 	💸 	view
U+1F4B9 	CHART WITH UPWARDS TREND AND YEN SIGN 	💹 	view
U+1F4BA 	SEAT 	💺 	view
U+1F4BB 	PERSONAL COMPUTER 	💻 	view
U+1F4BC 	BRIEFCASE 	💼 	view
U+1F4BD 	MINIDISC 	💽 	view
U+1F4BE 	FLOPPY DISK 	💾 	view
U+1F4BF 	OPTICAL DISC 	💿 	view
U+1F4C0 	DVD 	📀 	view
U+1F4C1 	FILE FOLDER 	📁 	view
U+1F4C2 	OPEN FILE FOLDER 	📂 	view
U+1F4C3 	PAGE WITH CURL 	📃 	view
U+1F4C4 	PAGE FACING UP 	📄 	view
U+1F4C5 	CALENDAR 	📅 	view
U+1F4C6 	TEAR-OFF CALENDAR 	📆 	view
U+1F4C7 	CARD INDEX 	📇 	view
U+1F4C8 	CHART WITH UPWARDS TREND 	📈 	view
U+1F4C9 	CHART WITH DOWNWARDS TREND 	📉 	view
U+1F4CA 	BAR CHART 	📊 	view
U+1F4CB 	CLIPBOARD 	📋 	view
U+1F4CC 	PUSHPIN 	📌 	view
U+1F4CD 	ROUND PUSHPIN 	📍 	view
U+1F4CE 	PAPERCLIP 	📎 	view
U+1F4CF 	STRAIGHT RULER 	📏 	view
U+1F4D0 	TRIANGULAR RULER 	📐 	view
U+1F4D1 	BOOKMARK TABS 	📑 	view
U+1F4D2 	LEDGER 	📒 	view
U+1F4D3 	NOTEBOOK 	📓 	view
U+1F4D4 	NOTEBOOK WITH DECORATIVE COVER 	📔 	view
U+1F4D5 	CLOSED BOOK 	📕 	view
U+1F4D6 	OPEN BOOK 	📖 	view
U+1F4D7 	GREEN BOOK 	📗 	view
U+1F4D8 	BLUE BOOK 	📘 	view
U+1F4D9 	ORANGE BOOK 	📙 	view
U+1F4DA 	BOOKS 	📚 	view
U+1F4DB 	NAME BADGE 	📛 	view
U+1F4DC 	SCROLL 	📜 	view
U+1F4DD 	MEMO 	📝 	view
U+1F4DE 	TELEPHONE RECEIVER 	📞 	view
U+1F4DF 	PAGER 	📟 	view
U+1F4E0 	FAX MACHINE 	📠 	view
U+1F4E1 	SATELLITE ANTENNA 	📡 	view
U+1F4E2 	PUBLIC ADDRESS LOUDSPEAKER 	📢 	view
U+1F4E3 	CHEERING MEGAPHONE 	📣 	view
U+1F4E4 	OUTBOX TRAY 	📤 	view
U+1F4E5 	INBOX TRAY 	📥 	view
U+1F4E6 	PACKAGE 	📦 	view
U+1F4E7 	E-MAIL SYMBOL 	📧 	view
U+1F4E8 	INCOMING ENVELOPE 	📨 	view
U+1F4E9 	ENVELOPE WITH DOWNWARDS ARROW ABOVE 	📩 	view
U+1F4EA 	CLOSED MAILBOX WITH LOWERED FLAG 	📪 	view
U+1F4EB 	CLOSED MAILBOX WITH RAISED FLAG 	📫 	view
U+1F4EC 	OPEN MAILBOX WITH RAISED FLAG 	📬 	view
U+1F4ED 	OPEN MAILBOX WITH LOWERED FLAG 	📭 	view
U+1F4EE 	POSTBOX 	📮 	view
U+1F4EF 	POSTAL HORN 	📯 	view
U+1F4F0 	NEWSPAPER 	📰 	view
U+1F4F1 	MOBILE PHONE 	📱 	view
U+1F4F2 	MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT 	📲 	view
U+1F4F3 	VIBRATION MODE 	📳 	view
U+1F4F4 	MOBILE PHONE OFF 	📴 	view
U+1F4F5 	NO MOBILE PHONES 	📵 	view
U+1F4F6 	ANTENNA WITH BARS 	📶 	view
U+1F4F7 	CAMERA 	📷 	view
U+1F4F9 	VIDEO CAMERA 	📹 	view
U+1F4FA 	TELEVISION 	📺 	view
U+1F4FB 	RADIO 	📻 	view
U+1F4FC 	VIDEOCASSETTE 	📼 	view
