U+1F301 	FOGGY 	🌁 	view
U+1F302 	CLOSED UMBRELLA 	🌂 	view
U+1F303 	NIGHT WITH STARS 	🌃 	view
U+1F304 	SUNRISE OVER MOUNTAINS 	🌄 	view
U+1F305 	SUNRISE 	🌅 	view
U+1F306 	CITYSCAPE AT DUSK 	🌆 	view
U+1F307 	SUNSET OVER BUILDINGS 	🌇 	view
U+1F308 	RAINBOW 	🌈 	view
U+1F309 	BRIDGE AT NIGHT 	🌉 	view
U+1F30A 	WATER WAVE 	🌊 	view
U+1F30B 	VOLCANO 	🌋 	view
U+1F30C 	MILKY WAY 	🌌 	view
U+1F30D 	EARTH GLOBE EUROPE-AFRICA 	🌍 	view
U+1F30E 	EARTH GLOBE AMERICAS 	🌎 	view
U+1F30F 	EARTH GLOBE ASIA-AUSTRALIA 	🌏 	view
U+1F310 	GLOBE WITH MERIDIANS 	🌐 	view
U+1F311 	NEW MOON SYMBOL 	🌑 	view
U+1F312 	WAXING CRESCENT MOON SYMBOL 	🌒 	view
U+1F313 	FIRST QUARTER MOON SYMBOL 	🌓 	view
U+1F314 	WAXING GIBBOUS MOON SYMBOL 	🌔 	view
U+1F315 	FULL MOON SYMBOL 	🌕 	view
U+1F316 	WANING GIBBOUS MOON SYMBOL 	🌖 	view
U+1F317 	LAST QUARTER MOON SYMBOL 	🌗 	view
U+1F318 	WANING CRESCENT MOON SYMBOL 	🌘 	view
U+1F319 	CRESCENT MOON 	🌙 	view
U+1F31A 	NEW MOON WITH FACE 	🌚 	view
U+1F31B 	FIRST QUARTER MOON WITH FACE 	🌛 	view
U+1F31C 	LAST QUARTER MOON WITH FACE 	🌜 	view
U+1F31D 	FULL MOON WITH FACE 	🌝 	view
U+1F31E 	SUN WITH FACE 	🌞 	view
U+1F31F 	GLOWING STAR 	🌟 	view
U+1F320 	SHOOTING STAR 	🌠 	view
U+1F330 	CHESTNUT 	🌰 	view
U+1F331 	SEEDLING 	🌱 	view
U+1F332 	EVERGREEN TREE 	🌲 	view
U+1F333 	DECIDUOUS TREE 	🌳 	view
U+1F334 	PALM TREE 	🌴 	view
U+1F335 	CACTUS 	🌵 	view
U+1F337 	TULIP 	🌷 	view
U+1F338 	CHERRY BLOSSOM 	🌸 	view
U+1F339 	ROSE 	🌹 	view
U+1F33A 	HIBISCUS 	🌺 	view
U+1F33B 	SUNFLOWER 	🌻 	view
U+1F33C 	BLOSSOM 	🌼 	view
U+1F33D 	EAR OF MAIZE 	🌽 	view
U+1F33E 	EAR OF RICE 	🌾 	view
U+1F33F 	HERB 	🌿 	view
U+1F340 	FOUR LEAF CLOVER 	🍀 	view
U+1F341 	MAPLE LEAF 	🍁 	view
U+1F342 	FALLEN LEAF 	🍂 	view
U+1F343 	LEAF FLUTTERING IN WIND 	🍃 	view
U+1F344 	MUSHROOM 	🍄 	view
U+1F345 	TOMATO 	🍅 	view
U+1F346 	AUBERGINE 	🍆 	view
U+1F347 	GRAPES 	🍇 	view
U+1F348 	MELON 	🍈 	view
U+1F349 	WATERMELON 	🍉 	view
U+1F34A 	TANGERINE 	🍊 	view
U+1F34B 	LEMON 	🍋 	view
U+1F34C 	BANANA 	🍌 	view
U+1F34D 	PINEAPPLE 	🍍 	view
U+1F34E 	RED APPLE 	🍎 	view
U+1F34F 	GREEN APPLE 	🍏 	view
U+1F350 	PEAR 	🍐 	view
U+1F351 	PEACH 	🍑 	view
U+1F352 	CHERRIES 	🍒 	view
U+1F353 	STRAWBERRY 	🍓 	view
U+1F354 	HAMBURGER 	🍔 	view
U+1F355 	SLICE OF PIZZA 	🍕 	view
U+1F356 	MEAT ON BONE 	🍖 	view
U+1F357 	POULTRY LEG 	🍗 	view
U+1F358 	RICE CRACKER 	🍘 	view
U+1F359 	RICE BALL 	🍙 	view
U+1F35A 	COOKED RICE 	🍚 	view
U+1F35B 	CURRY AND RICE 	🍛 	view
U+1F35C 	STEAMING BOWL 	🍜 	view
U+1F35D 	SPAGHETTI 	🍝 	view
U+1F35E 	BREAD 	🍞 	view
U+1F35F 	FRENCH FRIES 	🍟 	view
U+1F360 	ROASTED SWEET POTATO 	🍠 	view
U+1F361 	DANGO 	🍡 	view
U+1F362 	ODEN 	🍢 	view
U+1F363 	SUSHI 	🍣 	view
U+1F364 	FRIED SHRIMP 	🍤 	view
U+1F365 	FISH CAKE WITH SWIRL DESIGN 	🍥 	view
U+1F366 	SOFT ICE CREAM 	🍦 	view
U+1F367 	SHAVED ICE 	🍧 	view
U+1F368 	ICE CREAM 	🍨 	view
U+1F369 	DOUGHNUT 	🍩 	view
U+1F36A 	COOKIE 	🍪 	view
U+1F36B 	CHOCOLATE BAR 	🍫 	view
U+1F36C 	CANDY 	🍬 	view
U+1F36D 	LOLLIPOP 	🍭 	view
U+1F36E 	CUSTARD 	🍮 	view
U+1F36F 	HONEY POT 	🍯 	view
U+1F370 	SHORTCAKE 	🍰 	view
U+1F371 	BENTO BOX 	🍱 	view
U+1F372 	POT OF FOOD 	🍲 	view
U+1F373 	COOKING 	🍳 	view
U+1F374 	FORK AND KNIFE 	🍴 	view
U+1F375 	TEACUP WITHOUT HANDLE 	🍵 	view
U+1F376 	SAKE BOTTLE AND CUP 	🍶 	view
U+1F377 	WINE GLASS 	🍷 	view
U+1F378 	COCKTAIL GLASS 	🍸 	view
U+1F379 	TROPICAL DRINK 	🍹 	view
U+1F37A 	BEER MUG 	🍺 	view
U+1F37B 	CLINKING BEER MUGS 	🍻 	view
U+1F37C 	BABY BOTTLE 	🍼 	view
U+1F380 	RIBBON 	🎀 	view
U+1F381 	WRAPPED PRESENT 	🎁 	view
U+1F382 	BIRTHDAY CAKE 	🎂 	view
U+1F383 	JACK-O-LANTERN 	🎃 	view
U+1F384 	CHRISTMAS TREE 	🎄 	view
U+1F385 	FATHER CHRISTMAS 	🎅 	view
U+1F386 	FIREWORKS 	🎆 	view
U+1F387 	FIREWORK SPARKLER 	🎇 	view
U+1F388 	BALLOON 	🎈 	view
U+1F389 	PARTY POPPER 	🎉 	view
U+1F38A 	CONFETTI BALL 	🎊 	view
U+1F38B 	TANABATA TREE 	🎋 	view
U+1F38C 	CROSSED FLAGS 	🎌 	view
U+1F38D 	PINE DECORATION 	🎍 	view
U+1F38E 	JAPANESE DOLLS 	🎎 	view
U+1F38F 	CARP STREAMER 	🎏 	view
U+1F390 	WIND CHIME 	🎐 	view
U+1F391 	MOON VIEWING CEREMONY 	🎑 	view
U+1F392 	SCHOOL SATCHEL 	🎒 	view
U+1F393 	GRADUATION CAP 	🎓 	view
U+1F3A0 	CAROUSEL HORSE 	🎠 	view
U+1F3A1 	FERRIS WHEEL 	🎡 	view
U+1F3A2 	ROLLER COASTER 	🎢 	view
U+1F3A3 	FISHING POLE AND FISH 	🎣 	view
U+1F3A4 	MICROPHONE 	🎤 	view
U+1F3A5 	MOVIE CAMERA 	🎥 	view
U+1F3A6 	CINEMA 	🎦 	view
U+1F3A7 	HEADPHONE 	🎧 	view
U+1F3A8 	ARTIST PALETTE 	🎨 	view
U+1F3A9 	TOP HAT 	🎩 	view
U+1F3AA 	CIRCUS TENT 	🎪 	view
U+1F3AB 	TICKET 	🎫 	view
U+1F3AC 	CLAPPER BOARD 	🎬 	view
U+1F3AD 	PERFORMING ARTS 	🎭 	view
U+1F3AE 	VIDEO GAME 	🎮 	view
U+1F3AF 	DIRECT HIT 	🎯 	view
U+1F3B0 	SLOT MACHINE 	🎰 	view
U+1F3B1 	BILLIARDS 	🎱 	view
U+1F3B2 	GAME DIE 	🎲 	view
U+1F3B3 	BOWLING 	🎳 	view
U+1F3B4 	FLOWER PLAYING CARDS 	🎴 	view
U+1F3B5 	MUSICAL NOTE 	🎵 	view
U+1F3B6 	MULTIPLE MUSICAL NOTES 	🎶 	view
U+1F3B7 	SAXOPHONE 	🎷 	view
U+1F3B8 	GUITAR 	🎸 	view
U+1F3B9 	MUSICAL KEYBOARD 	🎹 	view
U+1F3BA 	TRUMPET 	🎺 	view
U+1F3BB 	VIOLIN 	🎻 	view
U+1F3BC 	MUSICAL SCORE 	🎼 	view
U+1F3BD 	RUNNING SHIRT WITH SASH 	🎽 	view
U+1F3BE 	TENNIS RACQUET AND BALL 	🎾 	view
