U+1F600 	GRINNING FACE 	😀 	view
U+1F601 	GRINNING FACE WITH SMILING EYES 	😁 	view
U+1F602 	FACE WITH TEARS OF JOY 	😂 	view
U+1F603 	SMILING FACE WITH OPEN MOUTH 	😃 	view
U+1F604 	SMILING FACE WITH OPEN MOUTH AND SMILING EYES 	😄 	view
U+1F605 	SMILING FACE WITH OPEN MOUTH AND COLD SWEAT 	😅 	view
U+1F606 	SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES 	😆 	view
U+1F607 	SMILING FACE WITH HALO 	😇 	view
U+1F608 	SMILING FACE WITH HORNS 	😈 	view
U+1F609 	WINKING FACE 	😉 	view
U+1F60A 	SMILING FACE WITH SMILING EYES 	😊 	view
U+1F60B 	FACE SAVOURING DELICIOUS FOOD 	😋 	view
U+1F60C 	RELIEVED FACE 	😌 	view
U+1F60D 	SMILING FACE WITH HEART-SHAPED EYES 	😍 	view
U+1F60E 	SMILING FACE WITH SUNGLASSES 	😎 	view
U+1F60F 	SMIRKING FACE 	😏 	view
U+1F610 	NEUTRAL FACE 	😐 	view
U+1F611 	EXPRESSIONLESS FACE 	😑 	view
U+1F612 	UNAMUSED FACE 	😒 	view
U+1F613 	FACE WITH COLD SWEAT 	😓 	view
U+1F614 	PENSIVE FACE 	😔 	view
U+1F615 	CONFUSED FACE 	😕 	view
U+1F616 	CONFOUNDED FACE 	😖 	view
U+1F617 	KISSING FACE 	😗 	view
U+1F618 	FACE THROWING A KISS 	😘 	view
U+1F619 	KISSING FACE WITH SMILING EYES 	😙 	view
U+1F61A 	KISSING FACE WITH CLOSED EYES 	😚 	view
U+1F61B 	FACE WITH STUCK-OUT TONGUE 	😛 	view
U+1F61C 	FACE WITH STUCK-OUT TONGUE AND WINKING EYE 	😜 	view
U+1F61D 	FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES 	😝 	view
U+1F61E 	DISAPPOINTED FACE 	😞 	view
U+1F61F 	WORRIED FACE 	😟 	view
U+1F620 	ANGRY FACE 	😠 	view
U+1F621 	POUTING FACE 	😡 	view
U+1F622 	CRYING FACE 	😢 	view
U+1F623 	PERSEVERING FACE 	😣 	view
U+1F624 	FACE WITH LOOK OF TRIUMPH 	😤 	view
U+1F625 	DISAPPOINTED BUT RELIEVED FACE 	😥 	view
U+1F626 	FROWNING FACE WITH OPEN MOUTH 	😦 	view
U+1F627 	ANGUISHED FACE 	😧 	view
U+1F628 	FEARFUL FACE 	😨 	view
U+1F629 	WEARY FACE 	😩 	view
U+1F62A 	SLEEPY FACE 	😪 	view
U+1F62B 	TIRED FACE 	😫 	view
U+1F62C 	GRIMACING FACE 	😬 	view
U+1F62D 	LOUDLY CRYING FACE 	😭 	view
U+1F62E 	FACE WITH OPEN MOUTH 	😮 	view
U+1F62F 	HUSHED FACE 	😯 	view
U+1F630 	FACE WITH OPEN MOUTH AND COLD SWEAT 	😰 	view
U+1F631 	FACE SCREAMING IN FEAR 	😱 	view
U+1F632 	ASTONISHED FACE 	😲 	view
U+1F633 	FLUSHED FACE 	😳 	view
U+1F634 	SLEEPING FACE 	😴 	view
U+1F635 	DIZZY FACE 	😵 	view
U+1F636 	FACE WITHOUT MOUTH 	😶 	view
U+1F637 	FACE WITH MEDICAL MASK 	😷 	view
U+1F638 	GRINNING CAT FACE WITH SMILING EYES 	😸 	view
U+1F639 	CAT FACE WITH TEARS OF JOY 	😹 	view
U+1F63A 	SMILING CAT FACE WITH OPEN MOUTH 	😺 	view
U+1F63B 	SMILING CAT FACE WITH HEART-SHAPED EYES 	😻 	view
U+1F63C 	CAT FACE WITH WRY SMILE 	😼 	view
