U+1F561 	CLOCK FACE SIX-THIRTY 	🕡 	view
U+1F562 	CLOCK FACE SEVEN-THIRTY 	🕢 	view
U+1F563 	CLOCK FACE EIGHT-THIRTY 	🕣 	view
U+1F564 	CLOCK FACE NINE-THIRTY 	🕤 	view
U+1F565 	CLOCK FACE TEN-THIRTY 	🕥 	view
U+1F566 	CLOCK FACE ELEVEN-THIRTY 	🕦 	view
U+1F567 	CLOCK FACE TWELVE-THIRTY 	🕧 	view
U+1F5FB 	MOUNT FUJI 	🗻 	view
U+1F5FC 	TOKYO TOWER 	🗼 	view
U+1F5FD 	STATUE OF LIBERTY 	🗽 	view
U+1F5FE 	SILHOUETTE OF JAPAN 	🗾 	view
U+1F5FF 	MOYAI 	🗿 	view
